[ Open Source Software Notice ]

This software uses the following third-party libraries. 
Each library is governed by its own license terms.

 Name                    Version      License                             URL                                                 
 Cython                  3.2.4        Apache Software License             https://cython.org/                                 
 Jinja2                  3.1.6        BSD License                         https://github.com/pallets/jinja/                   
 MarkupSafe              3.0.3        BSD-3-Clause                        https://github.com/pallets/markupsafe/              
 PyYAML                  6.0.3        MIT License                         https://pyyaml.org/                                 
 antlr4-python3-runtime  4.8          BSD                                 http://www.antlr.org                                
 bitarray                3.8.0        PSF-2.0                             https://github.com/ilanschnell/bitarray             
 cffi                    2.0.0        MIT                                 https://cffi.readthedocs.io/en/latest/whatsnew.html 
 colorama                0.4.6        BSD License                         https://github.com/tartley/colorama                 
 coloredlogs             15.0.1       MIT License                         https://coloredlogs.readthedocs.io                  
 fairseq                 0.12.2       MIT License                         https://github.com/pytorch/fairseq                  
 filelock                3.24.3       MIT                                 https://github.com/tox-dev/py-filelock              
 flatbuffers             25.12.19     Apache Software License             https://google.github.io/flatbuffers/               
 fsspec                  2026.2.0     BSD-3-Clause                        https://github.com/fsspec/filesystem_spec           
 humanfriendly           10.0         MIT License                         https://humanfriendly.readthedocs.io                
 hydra-core              1.0.7        MIT License                         https://github.com/facebookresearch/hydra           
 lxml                    6.0.2        BSD-3-Clause                        https://lxml.de/                                    
 mpmath                  1.3.0        BSD License                         http://mpmath.org/                                  
 networkx                3.4.2        BSD License                         https://networkx.org/                               
 numpy                   2.2.6        BSD License                         https://numpy.org                                   
 omegaconf               2.0.6        BSD License                         https://github.com/omry/omegaconf                   
 onnxruntime-gpu         1.23.2       MIT License                         https://onnxruntime.ai                              
 packaging               26.0         Apache-2.0 OR BSD-2-Clause          https://github.com/pypa/packaging                   
 portalocker             3.2.0        BSD-3-Clause                        https://github.com/wolph/portalocker/               
 protobuf                6.33.5       3-Clause BSD License                https://developers.google.com/protocol-buffers/     
 pycparser               3.0          BSD-3-Clause                        https://github.com/eliben/pycparser                 
 pyreadline3             3.5.4        BSD License                         https://github.com/pyreadline3/pyreadline3          
 pywin32                 311          Python Software Foundation License  https://github.com/mhammond/pywin32                 
 regex                   2026.2.19    Apache-2.0 AND CNRI-Python          https://github.com/mrabarnett/mrab-regex            
 sacrebleu               2.6.0        Apache-2.0                          https://github.com/mjpost/sacrebleu                 
 scipy                   1.15.3       BSD License                         https://scipy.org/                                  
 sympy                   1.13.1       BSD License                         https://sympy.org                                   
 tabulate                0.9.0        MIT License                         https://github.com/astanin/python-tabulate          
 torch                   2.5.1+cu124  BSD License                         https://pytorch.org/                                
 torchaudio              2.5.1+cu124  BSD License                         https://github.com/pytorch/audio                    
 tqdm                    4.67.3       MPL-2.0 AND MIT                     https://tqdm.github.io                              
 typing_extensions       4.15.0       PSF-2.0                             https://github.com/python/typing_extensions         
 websockets              16.0         BSD-3-Clause                        https://github.com/python-websockets/websockets
HuBERT Base	Meta (Fairseq)	MIT License		https://github.com/facebookresearch/fairseq 
RMVPE	Dream-High	Apache-2.0				https://github.com/Dream-High/RMVPE 
---
Standard License Texts (MIT, BSD, Apache) can be found in the respective URLs.     
